label,text
pos,good much much get great much great really good time really time little good much people really get really time much good much well get even good much really mildred great get mildred much well great best even time rob great characters even good characters great people best jimmy mildred time get people get great great war time even well really much really characters even much well get characters really good well characters characters get much characters good great good people well time really best much well best much much well time characters roy time even even time well time roy really philip great get really great characters even 
pos,get time really great little people great good good really good time time time little get get best great back much get really time get roy philip well time even characters even well much really good time little really good good get people war really well much well good time good really time time really man good much time much much get rob even good much great even great war even characters even well well much good really well well get little good get men really even well great time well even human really even mildred characters much great much really good really best get even great jimmy great time even much little well great great really even good back great great great much time even go even great 
neg,even bad make bad make time get good music music make lugosi bad people plot good much time even plot time good bad could much even even much plot bad make really bridget make really even time time make bad get even make plot never get bad people way really much time people time even even get good people time people bad good plot really get much even really even people good time good bad really make even even time plot plot time bad good people plot get plot make really people bad 
pos,people braveheart great well time much good good little father time really much good great time good get even great much well good really really really get time well good really well good little good good get time get little time really really good really really get characters great even great little back time get people time best people great well good good good time philip well well best little roy rob even war time time get even even well really well well characters time little really characters little great time time little man little best well much well well roy characters good great best get get well get get time even well much get even good even braveheart philip time good time much characters really get 
pos,well get good great really really get get great little really men get roy good even time people great well get much much even rob even great time great time great great time well time even get man time well really good really really father much little get time really characters well even men good good really even get good well really time even little great well good time really time even well good best much time good time time first great time well well really love get great well good time really little really well much good really get time much get well well great two well really good great well characters people good get much well great time 
pos,time good well people much great really good good even time people great well really great good time great time good well people time good really people even philip great well time good even great well much time people people even really really time good characters much get great great well really time good time good characters even philip time roy really really well little people good best even time even time even get well people good well much good get really people man even even get characters time people well well really get time well time great great characters time good time time even really little time well well even philip much time get much people much 
pos,great time even well get best time even great great characters great time time get time much great time get good good well well go well great characters great even best really well good great characters really characters best characters back really great really good time well even cunningham time well really time really great people really time really time much little little well well well best good great good well really get great really much little get time mildred get well characters great well time get get good great good good great much best great good really really great great man well people even best time time even great even time well much time great time great best good much best much great good great great even characters time really get even even braveheart good really 
pos,people good best get get well well good time much get get time best even good philip even time even little time good get even great time really first even people great good men great really even love people people best great good well people really time best get get well get characters much well good good time well really great characters much time characters great characters really really great time time good great even much really much little great much even well roy even well well even good even really best really even really best well even great go jimmy get well people good get get people well time good really get characters best get well characters characters really time really great really even back first really good even best 
neg,even even make bad bad much much bad time really bad get make good people people plot time bad even make time people good get good time lugosi bad get even could really people even people get good real bad even get get even bad people make get plot good bad good time time time time time get make get bad time really time make even really plot much really even get time little good get bad much good much plot people make good even bad good much even first plot even good bad plot even plot people much make much much make really time make even bad time really good way plot way end bad even make make good make much good 
pos,good people best get well braveheart two good even get really time braveheart even great best even even get rob first even people even great get good much rob well really really rob well time much good time go rob really great braveheart really people great even really good time well good rob really great time well much great people great people good little get two really even time characters time even really really time get well good really good characters get back good much really best well even people get people roy time little time really really characters great well much time get time people first time great time much great good time best great much much great characters good time really 
neg,man real bad plot really really good bad get really even much really much really make bad get even get really people really time make bad even even even time make could get bad good make bad get really plot could much even people time time make bad time really good much plot even plot even really much time man time plot really good really even could people really really get really time bad much much much much real get much good bad even much even really plot get time good 
neg,really bad good make get two bad people bad time plot even time time good much even plot much people get good good first get get even bad get really much end get time good end lugosi people get bad good bad much make much even get good time people time even make good good even end lugosi make plot get lugosi time bad time bad really make even even people much bad bad make bad even bad make make make even get plot time even bad bad could bad get lugosi people even much first first make even good even even get really really much end good time even bad really good even time people bad time 
neg,even much time bad make people make people make even first little bad plot much people time good much bridget good people make way time people get get get plot time even get really bad good even even good bad even bad bad get plot make time make people never time get real even could bad time get make even good time black even time people make black plot could plot end really much people people people time black bad good bad really even make real even get get good time make bad even well get 
pos,time even good great good much two well really even time get first really get well well really great much even people really characters love characters get time get man great good love father well well well well good two great great well much well time good great people little good really people well even even much good get characters time great characters really great great well good little best even great get time much great good great well time well well characters much roy mildred characters really time time really love time good much time good roy well really great much get characters well first great really even even great good good people even get well even good good well really good people get time people great characters good good time get time even great get 
neg,really bad even people bad make much even even good time even make good even good good even really bad bad really time plot people really man even bad even even even plot good even make time get plot really good much people get good time much people people bad much plot even much plot even good really plot good make really bad time good time make bad good time make bad even get make plot even good even good get even really even really good time plot plot much bad plot make bad people time good music even bad time bad even bad make plot good much get plot plot bad people really people bad 
neg,make people make much way make much plot good bad plot much never really could make could much even could time bad real get bad bad bad good bad time time make really plot time bad first time even really plot really never time bad bad even time good much people good time bad could really bridget end get time bad even time bad even really much people good good people bad people even really time time good really even time much even get make even bad make really make really first really even get even much bad good people bad really get bridget bad bad people time even time time good make make even plot 
neg,much good plot get even bad good much much bridget good make good good bad much really get get bad could black bad much good make much even plot good plot bad time bad much really make bad time really make bad bad never plot much get well people plot really much even time really get really time make even time time good man really really much much time people bad good really really time bad make people really bad really even people really really even bad bad much black lugosi good really make even plot people bad make bad really bad even time really even much bad good plot bad people time even people good 
pos,time great well much great even best characters well characters well get good well good time well great people good get great well really good people really philip even time really get get even even much characters characters get much well get time rob well much really much well really get good much good well love good well much get get really best get time great time people even people even little really great people time time father great much good man time time time well really people great good much time well well good even much well time great much characters good people even great well really time time people good 
pos,much man rob good well best time best human much much well good great great good great great time get well good time great get well great great well great well much good good really good first great well get well two men really back get roy good time great people well great well little really really man good time get well good little well much really best time get even little even little good good best back well well even good man well good get really even much really even even good really well really good people time time much time good well great 
neg,get even really people even plot good bad make even end even time even people time time time bad never could get really bad bad even good even good bad people end much plot much make time time good two make plot get could even even good even time first make end good man good people even much bad much bad man bad real even bad people really even even time way bad could make make time much much good even good good get time good time get way time good much people make make well bad good even much get really time even time even really make much 
pos,really really really well rob get much even well well really great first much well good little best time well people great time characters time great time even time great even much go really really even best really much get rob great good much well good even get much time well great time time little great much great really get people great time good really good well much really great well well really great even really well little get really get well well get time time really time little time well great great much characters time get really well even get really good even war good really philip great 
pos,time well get little much good even get good much time much get cunningham great much good even rob little well get get good good great good time little best people great well good great well much best even much great well time characters people much time well great time much good great really much well good much good time much well people well great really time well great get people best good well well great great people time best even time great great much time well people good much good really first little time even really good roy rob great time time really good great really much much time characters time people get time 
pos,well time well go good time well little good well really well first time even time characters really little get get good even time little really much characters get get great much well much time good much jimmy much really good great characters great much characters get best characters really well get great good time great really really time time good time time really time really even get people good great even good people people good get well much great even get really get great people well people great really best well really great even much good great really get people good get people people even really time get time good good well great good much even little much much 
pos,time great time people good philip much really good well really little best well little man well great time well people time really rob good best best well well good characters even even characters really much really time love little best little people even well people much really time well time well well great well much well best even good much people good little good good time good much much great get time time great characters time good great people really great really well really really time even time well even people good much much great time people even love great well well time well great even really much even time first well mildred get well first good time well good good two get characters much characters time much even time time well really great good good time much well people time 
pos,well much time best best time well good great people great really really get even get rob much great good time time get even well time much get great much even people good time roy good good great great great good men characters really good even well jimmy first much time time good great people time even much good even great time well well back much good get get good get even characters good good much good time time much time great much much much time characters well much really first really philip really great get time great go good roy great well well good time get get much even really even time good good good much great good great much well well even well great really even time well get 
neg,bad even make make people much time time bad time good time get time even plot time even time bad people people people really people bad plot people good good bad two bad really make time even really much bad much really people time people get even real bad good bad bad good people even bad good even plot really even even good get bad bad make make much plot plot even time much even really plot even good people make make even bad good much get bad even get get bad people bad bad bad make people end bad good make even even time even real even could even music get even 
pos,great well get get best really people really well braveheart time even really really good much time really good time even back great great good even great well good time even even really good good great even time much people people much really time time get well time get good good good great human great really good great time man good time characters well great even people even good great get well even time even great good well best really really even people time even little time really two characters much great time time good time well best much philip 
neg,even plot much much plot really good really really really lugosi could plot really good get plot even make time much first bad plot much even good much make good really much people first good make bad bad could really bad much people bad much bad plot even good really really make bridget get end get music time good even good bad even get bad time bad time time plot even make good good time much bad bad good good bad time really people good time good even plot time much even people bad much end even people much plot people make people plot plot good bad 
pos,well man well get great even well really love well people great good time good get great even time characters characters even people good time get good best well great good time time good get people good much well really get great really get time great get great characters really little little best well little well time even great get well great really really much time well great much best well best roy time really good well get best well time even even time really well well well little best first time much time even time time get well great characters good people best good much even well really well characters good little well 
